id,class
0,0
1,1
2,2
3,0
4,1
5,2
6,0
7,1
8,2
9,0
10,1
11,2
12,0
13,2
14,0
15,1
16,2
17,0
18,1
19,2
20,0
21,1
22,1
23,0
24,1
25,1
26,0
27,1
28,1
29,0
30,1
31,1
32,0
33,1
34,2
35,2
36,2
37,2
38,2
39,0
40,1
41,2
42,0
43,1
44,2
45,0
46,1
47,1
48,2
49,0
50,1
51,2
52,0
53,1
54,2
55,0
56,1
57,2
58,0
59,1
60,2
61,0
62,1
63,2
64,0
65,1
66,2
67,0
68,1
69,2
70,0
71,1
72,2
73,0
74,1
75,2
76,0
77,0
78,0
79,1
80,1
81,1
82,2
83,0
84,1
85,2
86,0
87,1
88,2
89,0
90,1
91,2
92,0
93,1
94,2
95,0
96,1
97,2
98,0
99,1
100,2
101,0
102,1
103,2
104,0
105,1
106,2
107,0
108,1
109,2
110,0
111,0
112,1
113,1
114,2
115,2
116,0
117,1
118,2
119,0
120,0
121,1
122,2
123,0
124,1
125,2
126,0
127,1
128,2
129,0
130,1
131,2
132,0
133,1
134,2
135,0
136,2
137,0
138,1
139,2
140,0
141,1
142,2
143,0
144,1
145,1
146,0
147,1
148,1
149,0
150,1
151,1
152,0
153,1
154,1
155,0
156,1
157,2
158,2
159,2
160,2
161,2
162,0
163,1
164,2
165,0
166,1
167,2
168,0
169,1
170,1
171,2
172,0
173,1
174,2
175,0
176,1
177,2
178,0
179,1
180,2
181,0
182,1
183,2
184,0
185,1
186,2
187,0
188,1
189,2
190,0
191,1
192,2
193,0
194,1
195,2
196,0
197,1
198,2
199,0
200,0
201,0
202,1
203,1
204,1
205,2
206,0
207,1
208,2
209,0
210,1
211,2
212,0
213,1
214,2
215,0
216,1
217,2
218,0
219,1
220,2
221,0
222,1
223,2
224,0
225,1
226,2
227,0
228,1
229,2
230,0
231,1
232,2
233,0
234,0
235,1
236,1
237,2
238,2
239,0
240,1
241,2
242,0
243,0
244,1
245,2
246,1
247,0
248,2
249,0
250,1
251,2
252,0
253,2
254,0
255,0
256,1
257,2
258,0
259,1
260,2
261,0
262,1
263,2
264,0
265,1
266,2
267,0
268,0
269,1
270,1
271,2
272,0
273,1
274,2
275,0
276,1
277,0
278,1
279,1
280,2
281,0
282,1
283,2
284,0
285,0
286,0
287,1
288,1
289,1
290,2
291,2
292,2
293,0
294,1
295,2
296,2
297,0
298,0
299,2
300,2
301,2
302,1
303,1
304,1
305,1
306,0
307,0
308,2
309,1
310,0
311,0
312,1
313,1
314,1
315,2
316,2
317,2
318,0
319,0
320,0
321,1
322,1
323,1
324,1
325,2
326,2
327,2
328,2
329,0
330,0
331,1
332,1
333,2
334,0
335,0
336,0
337,0
338,1
339,2
340,2
341,0
342,2
343,2
344,1
345,0
346,0
347,0
348,0
349,0
350,0
351,1
352,1
353,1
354,1
355,1
356,2
357,2
358,2
359,0
360,0
361,1
362,1
363,2
364,2
365,2
366,2
367,0
368,1
369,2
370,0
371,0
372,0
373,1
374,1
375,1
376,1
377,2
378,2
379,2
380,2
381,1
382,0
383,0
384,0
385,1
386,2
387,0
388,2
389,1
390,1
391,0
392,1
393,0
394,2
395,0
396,1
397,2
398,0
399,2
400,0
401,0
402,1
403,2
404,0
405,1
406,2
407,0
408,1
409,2
410,0
411,1
412,2
413,0
414,0
415,1
416,1
417,2
418,0
419,1
420,2
421,0
422,1
423,0
424,1
425,1
426,2
427,0
428,1
429,2
430,0
431,0
432,0
433,1
434,1
435,1
436,2
437,2
438,2
439,0
440,1
441,2
442,2
443,0
444,0
445,2
446,2
447,2
448,1
449,1
450,1
451,1
452,0
453,0
454,2
455,1
456,0
457,0
458,1
459,1
460,1
461,2
462,2
463,2
464,0
465,0
466,0
467,1
468,1
469,1
470,1
471,2
472,2
473,2
474,2
475,0
476,0
477,1
478,1
479,2
480,0
481,0
482,0
483,0
484,1
485,2
486,2
487,0
488,2
489,2
490,1
491,0
492,0
493,0
494,0
495,0
496,0
497,1
498,1
499,1
500,1
501,1
502,2
503,2
504,2
505,0
506,0
507,1
508,1
509,2
510,2
511,2
512,2
513,0
514,1
515,2
516,0
517,0
518,0
519,1
520,1
521,1
522,1
523,2
524,2
525,2
526,2
527,1
528,0
529,0
530,0
531,1
532,2
533,0
534,2
535,1
536,1
537,0
