id,class
0,0
1,1
2,2
3,0
4,1
5,2
6,0
7,1
8,2
9,0
10,1
11,2
12,0
13,1
14,2
15,0
16,1
17,2
18,0
19,1
20,2
21,0
22,1
23,2
24,0
25,1
26,2
27,0
28,1
29,2
30,0
31,1
32,2
33,0
34,1
35,2
36,0
37,1
38,2
39,0
40,1
41,2
42,0
43,1
44,2
45,0
46,1
47,2
48,0
49,1
50,2
51,0
52,1
53,2
54,0
55,1
56,2
57,0
58,1
59,2
60,0
61,1
62,2
63,0
64,1
65,2
66,0
67,1
68,2
69,0
70,1
71,2
72,0
73,1
74,2
75,0
76,1
77,2
78,0
79,1
80,2
81,0
82,1
83,2
84,0
85,1
86,2
87,0
88,1
89,2
90,0
91,1
92,2
93,0
94,1
95,2
96,0
97,1
98,2
99,0
100,1
101,2
102,0
103,1
104,2
105,0
106,1
107,2
108,0
109,1
110,2
111,0
112,1
113,2
114,0
115,1
116,2
117,0
118,1
119,2
120,0
121,1
122,2
123,0
124,1
125,2
126,0
127,1
128,2
129,0
130,1
131,2
132,0
133,1
134,2
135,0
136,1
137,2
138,0
139,1
140,2
141,0
142,1
143,2
144,0
145,1
146,2
147,0
148,1
149,2
150,0
151,1
152,2
153,0
154,1
155,2
156,0
157,1
158,2
159,0
160,1
161,2
162,0
163,1
164,2
165,0
166,1
167,2
168,0
169,1
170,2
171,0
172,1
173,2
174,0
175,1
176,2
177,0
178,1
179,2
180,0
181,1
182,2
183,0
184,1
185,2
186,0
187,1
188,2
189,0
190,1
191,2
192,0
193,1
194,2
195,0
196,1
197,2
198,0
199,1
200,2
201,0
202,1
203,2
204,0
205,1
206,2
207,0
208,1
209,2
210,0
211,1
212,2
213,0
214,1
215,2
216,0
217,1
218,2
219,0
220,1
221,2
222,0
223,1
224,2
225,0
226,1
227,2
228,0
229,1
230,2
231,0
232,1
233,2
234,0
235,1
236,2
237,0
238,1
239,2
240,0
241,1
242,2
243,0
244,1
245,2
246,0
247,1
248,2
249,0
250,1
251,2
252,0
253,1
254,2
255,0
256,1
257,2
258,0
259,1
260,2
261,0
262,1
263,2
264,0
265,1
266,2
267,0
268,1
269,2
270,0
271,1
272,2
273,0
274,1
275,2
276,0
277,1
278,2
279,0
280,1
281,2
282,0
283,1
284,2
285,0
286,1
287,2
288,0
289,1
290,2
291,0
292,1
293,2
294,0
295,1
296,2
297,0
298,1
299,2
300,0
301,1
302,2
303,0
304,1
305,2
306,0
307,1
308,2
309,0
310,1
311,2
312,0
313,1
314,2
315,0
316,1
317,2
318,0
319,1
320,2
321,0
322,1
323,2
324,0
325,1
326,2
327,0
328,2
329,0
330,1
331,2
332,0
333,1
334,2
335,0
336,1
337,2
338,0
339,1
340,2
341,0
342,1
343,2
344,0
345,1
346,2
347,0
348,1
349,2
350,0
351,1
352,2
353,0
354,1
355,2
356,0
357,1
358,2
359,0
360,1
361,2
362,0
363,1
364,2
365,0
366,1
367,2
368,0
369,1
370,2
371,0
372,1
373,2
374,0
375,1
376,2
377,0
378,1
379,2
380,0
381,1
382,2
383,0
384,1
385,2
386,0
387,1
388,2
389,0
390,1
391,2
392,0
393,1
394,2
395,0
396,1
397,2
398,0
399,1
400,2
401,0
402,1
403,2
404,0
405,1
406,2
407,0
408,1
409,2
410,0
411,1
412,2
413,0
414,1
415,2
416,0
417,1
418,2
419,0
420,1
421,2
422,0
423,1
424,2
425,0
426,1
427,2
428,0
429,1
430,2
431,0
432,1
433,2
434,0
435,1
436,2
437,0
438,1
439,2
440,0
441,1
442,2
443,0
444,1
445,2
446,0
447,1
448,2
449,0
450,1
451,2
452,0
453,2
454,0
455,1
456,2
457,0
458,1
459,2
460,0
461,1
462,2
463,0
464,1
465,2
466,0
467,1
468,2
469,0
470,1
471,2
472,0
473,1
474,2
475,0
476,1
477,2
478,0
479,1
480,2
481,0
482,1
483,2
484,0
485,1
486,2
487,0
488,1
489,2
490,0
491,1
492,2
493,0
494,1
495,2
496,0
497,1
498,2
499,0
500,1
501,2
502,0
503,1
504,2
505,0
506,1
507,2
508,0
509,1
510,2
511,0
512,1
513,2
