id,class
0,0
1,1
2,2
3,0
4,1
5,2
6,0
7,1
8,2
9,0
10,1
11,2
12,0
13,1
14,2
15,0
16,1
17,2
18,0
19,1
20,2
21,0
22,1
23,2
24,0
25,1
26,2
27,0
28,1
29,2
30,0
31,1
32,2
33,1
34,2
35,0
36,1
37,2
38,2
39,0
40,1
41,2
42,0
43,1
44,2
45,0
46,1
47,2
48,0
49,1
50,2
51,0
52,1
53,2
54,0
55,1
56,2
57,0
58,1
59,2
60,0
61,1
62,2
63,0
64,1
65,2
66,0
67,1
68,2
69,0
70,1
71,2
72,0
73,1
74,2
75,0
76,1
77,2
78,0
79,1
80,2
81,0
82,1
83,2
84,0
85,1
86,2
87,0
88,1
89,2
90,0
91,1
92,2
93,0
94,1
95,2
96,0
97,1
98,2
99,0
100,1
101,2
102,0
103,1
104,2
105,0
106,1
107,2
108,2
109,0
110,1
111,2
112,0
113,1
114,2
115,0
116,1
117,2
118,0
119,0
120,1
121,2
122,0
123,1
124,2
125,0
126,1
127,2
128,0
129,1
130,2
131,0
132,1
133,2
134,0
135,1
136,2
137,0
138,1
139,2
140,0
141,1
142,2
143,0
144,1
145,2
146,0
147,1
148,2
149,0
150,1
151,2
152,0
153,1
154,2
155,0
156,1
157,2
158,0
159,1
160,2
161,0
162,1
163,2
164,0
165,1
166,2
167,0
168,1
169,2
170,0
171,1
172,2
173,1
174,2
175,0
176,1
177,2
178,2
179,0
180,1
181,2
182,0
183,1
184,2
185,0
186,1
187,2
188,0
189,1
190,2
191,0
192,1
193,2
194,0
195,1
196,2
197,0
198,1
199,2
200,0
201,1
202,2
203,0
204,1
205,2
206,0
207,1
208,2
209,0
210,1
211,2
212,0
213,1
214,2
215,0
216,1
217,2
218,0
219,1
220,2
221,0
222,1
223,2
224,0
225,1
226,2
227,0
228,1
229,2
230,0
231,1
232,2
233,0
234,1
235,2
236,0
237,1
238,2
239,0
240,1
241,2
242,0
243,1
244,2
245,0
246,1
247,2
248,2
249,0
250,1
251,2
252,0
253,1
254,2
255,0
256,1
257,2
258,0
259,0
260,1
261,2
262,0
263,1
264,2
265,0
266,1
267,2
268,0
269,1
270,2
271,0
272,1
273,2
274,0
275,1
276,2
277,0
278,1
279,2
280,2
281,0
282,1
283,2
284,1
285,2
286,0
287,1
288,2
289,2
290,2
291,0
292,1
293,2
294,0
295,1
296,2
297,2
298,0
299,1
300,1
301,2
302,0
303,0
304,0
305,1
306,2
307,1
308,0
309,0
310,1
311,2
312,0
313,1
314,1
315,0
316,0
317,1
318,2
319,2
320,2
321,2
322,0
323,0
324,0
325,2
326,2
327,2
328,0
329,0
330,1
331,1
332,2
333,2
334,1
335,1
336,1
337,2
338,2
339,0
340,0
341,1
342,2
343,0
344,1
345,2
346,0
347,1
348,2
349,0
350,0
351,1
352,2
353,2
354,2
355,1
356,0
357,2
358,2
359,2
360,0
361,0
362,1
363,1
364,1
365,2
366,2
367,0
368,0
369,0
370,2
371,2
372,2
373,1
374,1
375,1
376,0
377,0
378,0
379,1
380,2
381,2
382,2
383,1
384,1
385,0
386,0
387,2
388,2
389,1
390,1
391,0
392,1
393,2
394,2
395,0
396,1
397,2
398,1
399,2
400,0
401,1
402,2
403,2
404,2
405,0
406,1
407,2
408,0
409,1
410,2
411,2
412,0
413,1
414,1
415,2
416,0
417,0
418,0
419,1
420,2
421,1
422,0
423,0
424,1
425,2
426,0
427,1
428,1
429,0
430,0
431,1
432,2
433,2
434,2
435,2
436,0
437,0
438,0
439,2
440,2
441,2
442,0
443,0
444,1
445,1
446,2
447,2
448,1
449,1
450,1
451,2
452,2
453,0
454,0
455,1
456,2
457,0
458,1
459,2
460,0
461,1
462,2
463,0
464,0
465,1
466,2
467,2
468,2
469,1
470,0
471,2
472,2
473,2
474,0
475,0
476,1
477,1
478,1
479,2
480,2
481,0
482,0
483,0
484,2
485,2
486,2
487,1
488,1
489,1
490,0
491,0
492,0
493,1
494,2
495,2
496,2
497,1
498,1
499,0
500,0
501,2
502,2
503,1
504,1
505,0
506,1
507,2
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,1
525,1
526,1
527,1
528,1
529,1
530,1
531,1
532,1
533,1
534,1
535,1
536,1
537,1
538,1
539,1
540,1
541,1
